epoch,train_loss,val_loss,val_ats_mae,val_dom_f1,val_rsg_acc
1,0.366762,0.499371,6.5148,0.8145,0.7333
2,0.331412,0.504813,6.5012,0.8111,0.7436
3,0.314581,0.506689,6.5023,0.8158,0.7436
4,0.3131,0.502683,6.44,0.8195,0.7385
5,0.297195,0.503313,6.4521,0.8152,0.7462
6,0.235664,0.430095,6.4414,0.8184,0.7744
7,0.208061,0.425897,6.3581,0.8238,0.7821
8,0.198455,0.423836,6.3571,0.8305,0.7923
9,0.176755,0.43199,6.3471,0.8246,0.7769
10,0.17566,0.433412,6.3367,0.8318,0.7821
11,0.170538,0.437893,6.3716,0.8275,0.7923
12,0.162556,0.443371,6.2985,0.8197,0.7897
13,0.153022,0.446743,6.286,0.8341,0.7897
14,0.152339,0.453043,6.2927,0.8219,0.7795
15,0.144338,0.45396,6.2859,0.8323,0.7923
16,0.139465,0.457365,6.2162,0.8305,0.7923
17,0.133647,0.474373,6.2546,0.8316,0.7846
18,0.128066,0.476837,6.1926,0.8374,0.7821
19,0.122911,0.477332,6.2489,0.8417,0.7846
20,0.120411,0.483832,6.2046,0.8351,0.7872
21,0.116651,0.499585,6.2844,0.8302,0.7846
22,0.114309,0.501567,6.2776,0.838,0.7897
23,0.113962,0.489006,6.2266,0.8366,0.7923
